pP_true,pTargetDose_true,implied_true_RD,P_Stage1_Go,P_Stage1_Go_and_Final_Go,P_Final_Go_without_IA
0.35,0.25,0.10,0.6064912770,0.4406713413,0.5708879000
0.40,0.25,0.15,0.7055099301,0.6044074874,0.7519526577
0.45,0.25,0.20,0.7942766026,0.7449499713,0.8831056293
0.50,0.25,0.25,0.8667840000,0.8477090000,0.9558430000
0.55,0.25,0.30,0.9207160000,0.9149540000,0.9868880000
0.35,0.30,0.05,0.5144544491,0.2962595115,0.3945206490
0.40,0.30,0.10,0.6086314460,0.4423321438,0.5721139804
0.45,0.30,0.15,0.7032513787,0.5995802218,0.7464024871
0.50,0.30,0.20,0.7899802403,0.7379730683,0.8769849003
0.55,0.30,0.25,0.8624570327,0.8417953398,0.9522396476
0.35,0.35,0.00,0.4397352569,0.2002908812,0.2725494862
0.40,0.35,0.05,0.5202736530,0.3032587064,0.4028229031
0.45,0.35,0.10,0.6101943517,0.4435949440,0.5730530740
0.50,0.35,0.15,0.7020437950,0.5967783448,0.7430642136
0.55,0.35,0.20,0.7877114751,0.7341507351,0.8735047810
