design_case,pP_true,true_effect,P_Stage1_Go,P_Stage1_Go_and_Final_Go,P_Final_Go_without_IA,Opportunity_loss_from_binding_IA
one_effective,0.3000000000,0.0000000000,0.4288364145,0.1887766644,0.2578469098,0.0690702454
one_effective,0.3000000000,0.0500000000,0.5059398166,0.2861141324,0.3823611559,0.0962470235
one_effective,0.3000000000,0.1000000000,0.6035842996,0.4385888827,0.5694386817,0.1308497990
one_effective,0.3000000000,0.1500000000,0.7151488165,0.6236832940,0.7733288485,0.1496455545
one_effective,0.3000000000,0.2000000000,0.8277170251,0.7958015170,0.9235863985,0.1277848816
one_effective,0.3500000000,0.0000000000,0.4397352569,0.2002908812,0.2725494862,0.0722586050
one_effective,0.3500000000,0.0500000000,0.5144544491,0.2962595115,0.3945206490,0.0982611375
one_effective,0.3500000000,0.1000000000,0.6064912770,0.4406713413,0.5708879000,0.1302165587
one_effective,0.3500000000,0.1500000000,0.7092186144,0.6119866495,0.7604675723,0.1484809229
one_effective,0.3500000000,0.2000000000,0.8116346281,0.7719562218,0.9054414486,0.1334852268
one_effective,0.4000000000,0.0000000000,0.4470255618,0.2081251976,0.2824540563,0.0743288587
one_effective,0.4000000000,0.0500000000,0.5202736530,0.3032587064,0.4028229031,0.0995641967
one_effective,0.4000000000,0.1000000000,0.6086314460,0.4423321438,0.5721139804,0.1297818366
one_effective,0.4000000000,0.1500000000,0.7055099301,0.6044074874,0.7519526577,0.1475451703
one_effective,0.4000000000,0.2000000000,0.8011519152,0.7558295865,0.8923373460,0.1365077595
one_effective,0.4500000000,0.0000000000,0.4514851599,0.2128761321,0.2883687236,0.0754925915
one_effective,0.4500000000,0.0500000000,0.5240669863,0.3077693603,0.4080843987,0.1003150384
one_effective,0.4500000000,0.1000000000,0.6101943517,0.4435949440,0.5730530740,0.1294581300
one_effective,0.4500000000,0.1500000000,0.7032513787,0.5995802218,0.7464024871,0.1468222653
one_effective,0.4500000000,0.2000000000,0.7942766026,0.7449499713,0.8831056293,0.1381556580
one_effective,0.5000000000,0.0000000000,0.4535236163,0.2148668154,0.2907276811,0.0758608657
one_effective,0.5000000000,0.0500000000,0.5261973583,0.3101538263,0.4107516704,0.1005978441
one_effective,0.5000000000,0.1000000000,0.6112880210,0.4444807731,0.5736806781,0.1291999050
one_effective,0.5000000000,0.1500000000,0.7020437950,0.5967783448,0.7430642136,0.1462858688
one_effective,0.5000000000,0.2000000000,0.7899802403,0.7379730683,0.8769849003,0.1390118320
one_effective,0.5500000000,0.0000000000,0.4532985741,0.2142086763,0.2896792440,0.0754705677
one_effective,0.5500000000,0.0500000000,0.5268355899,0.3105740138,0.4110212831,0.1004472693
