n1_per_arm,information_fraction_pct,cF_pct,P_NoGo_null_pct,P_Drop_target15_pct,P_NoGo_one_target15_pct,P_NoGo_both_target15_pct,EN_A_null,EN_B_null,N_saved_A_vs_B_null,EN_A_one_target15,EN_B_one_target15,N_saved_A_vs_B_one_target15
18,40.91,5,0.60,0.22,0.07,0.01,130.18,131.53,1.35,131.09,131.94,0.85
18,40.91,10,4.12,1.57,0.81,0.22,124.67,128.79,4.11,128.25,131.37,3.12
18,40.91,15,8.72,3.55,2.16,0.73,119.27,125.20,5.93,125.28,130.32,5.04
18,40.91,20,8.72,3.55,2.16,0.73,119.27,125.20,5.93,125.28,130.32,5.04
22,50.00,5,5.38,1.64,0.93,0.24,124.46,128.45,3.98,128.26,131.38,3.13
22,50.00,10,10.23,3.43,2.22,0.71,119.87,125.25,5.38,125.82,130.53,4.72
22,50.00,15,10.23,3.43,2.22,0.71,119.87,125.25,5.38,125.82,130.53,4.72
22,50.00,20,17.60,6.57,4.74,1.81,113.83,120.39,6.56,122.36,128.87,6.51
26,59.09,5,11.49,3.23,2.20,0.66,121.18,125.79,4.61,126.65,130.81,4.17
26,59.09,10,18.66,5.93,4.41,1.57,116.47,121.93,5.46,124.05,129.62,5.57
26,59.09,15,18.66,5.93,4.41,1.57,116.47,121.93,5.46,124.05,129.62,5.57
26,59.09,20,28.01,10.14,8.11,3.39,110.95,116.87,5.92,120.71,127.62,6.91
