N_per_arm,f1_target,n1_nominal,CP_cutoff_lower_exclusive,CP_cutoff_upper_inclusive,P_NoGo_null,P_NoGo_weak_both5,P_Futility_target15,P_NoGo_one_target15,P_NoGo_both_target15,EN_A_null,EN_B_null,N_saved_A_vs_B_one_target15,ARR_halfwidth_95_target
36,0.40000000,14,0.15634834,0.24516853,0.06876199,0.03624093,0.03506429,0.01941199,0.00702239,98.95451671,103.46170837,3.68364659,0.22094918
36,0.50000000,18,0.09119154,0.16449527,0.08718906,0.04399482,0.03553401,0.02158391,0.00733001,99.18402947,103.29179094,3.48587534,0.22094918
36,0.60000000,22,0.03843274,0.08767485,0.10230694,0.04947845,0.03431449,0.02222727,0.00707989,100.28116713,103.70310863,3.00130723,0.22094918
40,0.40000000,16,0.19108119,0.28475837,0.07845105,0.04045437,0.03559329,0.02074008,0.00727217,109.12694650,114.35152439,4.35382945,0.20961079
40,0.50000000,20,0.12276499,0.20486794,0.09510381,0.04697230,0.03506568,0.02205128,0.00725205,109.55399819,114.29377130,4.09122528,0.20961079
40,0.60000000,24,0.06267876,0.12498685,0.10889331,0.05158847,0.03337043,0.02217852,0.00684408,110.76030836,114.77312091,3.57291349,0.20961079
44,0.40000000,18,0.14796498,0.22628494,0.08718906,0.04399482,0.03553401,0.02158391,0.00733001,119.26582035,125.19925357,5.03515327,0.19985605
44,0.50000000,22,0.09144411,0.15634834,0.10230694,0.04947845,0.03431449,0.02222727,0.00707989,119.87040549,125.24774213,4.71633993,0.19985605
44,0.60000000,26,0.04503094,0.09119154,0.11494282,0.05336387,0.03229836,0.02195721,0.00656696,121.17918503,125.79308764,4.16683317,0.19985605
48,0.40000000,19,0.19392881,0.27886920,0.09124196,0.04554779,0.03534208,0.02185885,0.00730511,129.31108713,136.06194946,5.77855504,0.19134760
48,0.50000000,24,0.11878206,0.19108119,0.10889331,0.05158847,0.03337043,0.02217852,0.00684408,130.14046255,136.15968137,5.35937024,0.19134760
48,0.60000000,29,0.05537677,0.10666571,0.12315437,0.05550740,0.03054988,0.02138878,0.00610830,131.97631975,136.98020099,4.60954765,0.19134760
52,0.40000000,21,0.15310605,0.22532797,0.09878802,0.04827924,0.03471912,0.02217115,0.00717562,139.34622000,146.81271404,6.49735726,0.18384083
52,0.50000000,26,0.08993030,0.14796498,0.11494282,0.05336387,0.03229836,0.02195721,0.00656696,140.36993394,147.03445993,6.01875903,0.18384083
52,0.60000000,31,0.04020661,0.07867396,0.12813279,0.05664795,0.02933752,0.02089665,0.00578995,142.31263415,147.92763394,5.23671706,0.18384083
