Stage1_information_pct,n1_nominal,Treatment_effect_boundary_pct,Individual_CP_pct,Joint_CP_pct,P_overall_futility_true_effect_0_pct,P_overall_futility_true_effect_5_pct,P_overall_futility_true_effect_15_pct,P_any_final_effect_ge15_pct,P_any_final_effect_ge10_pct,P_any_final_effect_ge5_pct
40,18,-5.56,32.32,46.26,27.00,17.12,4.94,23.32,46.26,70.60
40,18,0.00,43.34,58.85,40.34,28.23,10.36,34.05,58.85,80.53
40,18,5.56,54.86,70.60,54.85,41.89,19.07,46.26,70.60,88.12
40,18,11.11,65.95,80.53,68.68,56.56,31.16,58.85,80.53,93.35
50,22,-4.55,24.52,36.49,27.57,16.67,4.09,14.99,36.49,63.51
50,22,0.00,35.49,49.99,39.65,26.46,8.24,24.48,49.99,75.54
50,22,4.55,47.76,63.51,52.76,38.47,14.93,36.49,63.51,85.07
50,22,9.09,60.19,75.54,65.53,51.66,24.46,49.99,75.54,91.76
60,26,-3.85,16.45,25.59,28.01,16.21,3.39,7.70,25.59,54.33
60,26,0.00,26.68,39.22,39.13,24.98,6.65,14.93,39.22,68.84
60,26,3.85,39.30,54.33,51.16,35.73,11.88,25.59,54.33,80.93
60,26,11.54,66.43,80.93,73.77,59.86,29.40,54.33,80.93,95.06
