N_per_arm,true_effect,pP_true,pT_true,P_NoGo_leaning,P_Consider,P_Go_leaning
36,0.00,0.45,0.45,0.484075,0.199109,0.316816
36,0.05,0.45,0.40,0.306273,0.200667,0.493060
36,0.10,0.45,0.35,0.162992,0.163638,0.673370
36,0.15,0.45,0.30,0.070414,0.106237,0.823349
36,0.20,0.45,0.25,0.023588,0.053418,0.922994
40,0.00,0.45,0.45,0.476081,0.190401,0.333518
40,0.05,0.45,0.40,0.290384,0.187672,0.521944
40,0.10,0.45,0.35,0.145791,0.145831,0.708378
40,0.15,0.45,0.30,0.057870,0.087636,0.854495
40,0.20,0.45,0.25,0.017245,0.039435,0.943320
44,0.00,0.45,0.45,0.562317,0.171085,0.266599
44,0.05,0.45,0.40,0.360729,0.185661,0.453610
44,0.10,0.45,0.35,0.189441,0.155681,0.654879
44,0.15,0.45,0.30,0.077906,0.098940,0.823155
44,0.20,0.45,0.25,0.023750,0.046114,0.930136
48,0.00,0.45,0.45,0.552458,0.166064,0.281477
48,0.05,0.45,0.40,0.342748,0.176467,0.480784
48,0.10,0.45,0.35,0.170363,0.141184,0.688453
48,0.15,0.45,0.30,0.064571,0.083166,0.852263
48,0.20,0.45,0.25,0.017561,0.034738,0.947700
52,0.00,0.45,0.45,0.543732,0.230502,0.225766
52,0.05,0.45,0.40,0.326526,0.253948,0.419526
52,0.10,0.45,0.35,0.153725,0.207123,0.639151
52,0.15,0.45,0.30,0.053731,0.122244,0.824024
52,0.20,0.45,0.25,0.013042,0.050237,0.936721
