N_per_arm,IA_fraction,n1_per_arm,Requested_effect,Event_count_difference_xP_minus_xT,Attainable_observed_effect,Individual_CP
44,0.35,15,0,0,0,0.4859595058
44,0.35,15,0.05,1,0.0666666667,0.5943875289
44,0.35,15,0.10,2,0.1333333333,0.6957250195
44,0.35,15,0.15,2,0.1333333333,0.6957250195
44,0.40,18,0,0,0,0.4333999840
44,0.40,18,0.05,1,0.0555555556,0.5485906912
44,0.40,18,0.10,2,0.1111111111,0.6594523932
44,0.40,18,0.15,3,0.1666666667,0.7577511042
44,0.45,20,0,0,0,0.3953820695
44,0.45,20,0.05,1,0.0500000000,0.5146397894
44,0.45,20,0.10,2,0.1000000000,0.6321591363
44,0.45,20,0.15,3,0.1500000000,0.7381188546
48,0.35,17,0,0,0,0.5181680412
48,0.35,17,0.05,1,0.0588235294,0.6218817012
48,0.35,17,0.10,2,0.1176470588,0.7172361984
48,0.35,17,0.15,3,0.1764705882,0.7990864091
48,0.40,19,0,0,0,0.4859595058
48,0.40,19,0.05,1,0.0526315789,0.5943875289
48,0.40,19,0.10,2,0.1052631579,0.6957250195
48,0.40,19,0.15,3,0.1578947368,0.7837293783
48,0.45,22,0,0,0,0.4333999840
48,0.45,22,0.05,1,0.0454545455,0.5485906912
48,0.45,22,0.10,2,0.0909090909,0.6594523932
48,0.45,22,0.15,3,0.1363636364,0.7577511042
52,0.35,18,0,0,0,0.4617942290
52,0.35,18,0.05,1,0.0555555556,0.5625411525
52,0.35,18,0.10,2,0.1111111111,0.6591377787
52,0.35,18,0.15,3,0.1666666667,0.7461044143
52,0.40,21,0,0,0,0.4128978526
52,0.40,21,0.05,1,0.0476190476,0.5181680412
52,0.40,21,0.10,2,0.0952380952,0.6218817012
52,0.40,21,0.15,3,0.1428571429,0.7172361984
52,0.45,23,0,0,0,0.3782194054
52,0.45,23,0.05,1,0.0434782609,0.4859595058
52,0.45,23,0.10,2,0.0869565217,0.5943875289
52,0.45,23,0.15,3,0.1304347826,0.6957250195
