N,IA,n1,cut,minD,obs_effect,CP_at_minD,Go_0,Go_5,Go_10,Go_15,Go_20
44,0.35,15,0.65,2,0.1333333333,0.6957250195,0.4306980298,0.5487042938,0.6638380370,0.7673769227,0.8526620259
44,0.35,15,0.70,3,0.2000000000,0.7837293783,0.2828718273,0.3887577728,0.5044994611,0.6216948968,0.7312233011
44,0.35,15,0.75,3,0.2000000000,0.7837293783,0.2828718273,0.3887577728,0.5044994611,0.6216948968,0.7312233011
44,0.40,18,0.65,2,0.1111111111,0.6594523932,0.4514851599,0.5810970812,0.7039961901,0.8092997391,0.8901191539
44,0.40,18,0.70,3,0.1666666667,0.7577511042,0.3131530183,0.4344168757,0.5635125255,0.6884059666,0.7975654225
44,0.40,18,0.75,3,0.1666666667,0.7577511042,0.3131530183,0.4344168757,0.5635125255,0.6884059666,0.7975654225
44,0.45,20,0.65,3,0.1500000000,0.7381188546,0.3299844393,0.4603255545,0.5966386072,0.7245230786,0.8313501485
44,0.45,20,0.70,3,0.1500000000,0.7381188546,0.3299844393,0.4603255545,0.5966386072,0.7245230786,0.8313501485
44,0.45,20,0.75,4,0.2000000000,0.8255925326,0.2160771522,0.3264659774,0.4557327169,0.5921919975,0.7214188673
48,0.35,17,0.65,2,0.1176470588,0.7172361984,0.4451532285,0.5710810049,0.6916237029,0.7965847872,0.8790620656
48,0.35,17,0.70,2,0.1176470588,0.7172361984,0.4451532285,0.5710810049,0.6916237029,0.7965847872,0.8790620656
48,0.35,17,0.75,3,0.1764705882,0.7990860476,0.3038095758,0.4202051794,0.5452206683,0.6680299544,0.7778090328
48,0.40,19,0.65,2,0.1052631579,0.6957250195,0.4573221773,0.5904582968,0.7155137996,0.8209569225,0.9000002513
48,0.40,19,0.70,3,0.1578947368,0.7837293783,0.3218554692,0.4477612117,0.5806127941,0.7071824478,0.8153355385
48,0.40,19,0.75,3,0.1578947368,0.7837293783,0.3218554692,0.4477612117,0.5806127941,0.7071824478,0.8153355385
48,0.45,22,0.65,2,0.0909090909,0.6594523932,0.4724210112,0.6153091889,0.7458165719,0.8507034117,0.9239814677
48,0.45,22,0.70,3,0.1363636364,0.7577511042,0.3447472600,0.4834072993,0.6258615301,0.7554491695,0.8588851272
48,0.45,22,0.75,3,0.1363636364,0.7577511042,0.3447472600,0.4834072993,0.6258615301,0.7554491695,0.8588851272
52,0.35,18,0.65,2,0.1111111111,0.6591377787,0.4514851599,0.5810970812,0.7039961901,0.8092997391,0.8901191539
52,0.35,18,0.70,3,0.1666666667,0.7461044143,0.3131530183,0.4344168757,0.5635125255,0.6884059666,0.7975654225
52,0.35,18,0.75,4,0.2222222222,0.8196490540,0.1973221526,0.2966186154,0.4148238549,0.5432708126,0.6702407512
52,0.40,21,0.65,3,0.1428571429,0.7172361984,0.3375981926,0.4721856125,0.6116918474,0.7405704249,0.8458089062
52,0.40,21,0.70,3,0.1428571429,0.7172361984,0.3375981926,0.4721856125,0.6116918474,0.7405704249,0.8458089062
52,0.40,21,0.75,4,0.1904761905,0.7990860476,0.2247486150,0.3403740053,0.4746494743,0.6143350315,0.7437759324
52,0.45,23,0.65,3,0.1304347826,0.6957250195,0.3514756727,0.4940482625,0.6392257681,0.7692687935,0.8707297647
52,0.45,23,0.70,4,0.1739130435,0.7837293783,0.2408423571,0.3663781931,0.5097338504,0.6545257462,0.7829487029
52,0.45,23,0.75,4,0.1739130435,0.7837293783,0.2408423571,0.3663781931,0.5097338504,0.6545257462,0.7829487029
