N_per_arm,N_total,min_event_diff_for_final_promising,attainable_final_promising_threshold,P_Go_0_0,P_Go_0_15,P_Go_5_15,P_Go_10_15,P_Go_15_15,SE_RD_target,CI95_halfwidth_target
40,120,4,0.1000000000,0.3335177731,0.7372374086,0.7601782281,0.7999352621,0.8544945384,0.1069462482,0.2096146464
41,123,5,0.1219512195,0.2543574782,0.6642824144,0.6879152615,0.7320710901,0.7972595960,0.1056339746,0.2070425902
42,126,5,0.1190476190,0.2585496188,0.6747135752,0.6980477719,0.7418317866,0.8063211684,0.1043688514,0.2045629487
43,129,5,0.1162790698,0.2626284723,0.6847880326,0.7078114988,0.7511955452,0.8149452271,0.1031481211,0.2021703173
44,132,5,0.1136363636,0.2665986595,0.6945194766,0.7172217728,0.7601805944,0.8231547360,0.1019692467,0.1998597235
45,135,5,0.1111111111,0.2704645685,0.7039210298,0.7262932190,0.7688042415,0.8309713706,0.1008298897,0.1976265839
46,138,5,0.1086956522,0.2742303667,0.7130052666,0.7350397879,0.7770829188,0.8384155897,0.0997278907,0.1954666657
47,141,5,0.1063829787,0.2779000128,0.7217842334,0.7434747845,0.7850322271,0.8455067038,0.0986612515,0.1933760530
48,144,5,0.1041666667,0.2814772677,0.7302694692,0.7516108986,0.7926669788,0.8522629406,0.0976281209,0.1913511171
49,147,5,0.1020408163,0.2849657054,0.7384720254,0.7594602335,0.8000012393,0.8587015081,0.0966267804,0.1893884896
50,150,5,0.1000000000,0.2883687236,0.7464024871,0.7670343341,0.8070483667,0.8648386537,0.0956556323,0.1874850394
51,153,6,0.1176470588,0.2223292359,0.6830430817,0.7041017827,0.7481004064,0.8164128941,0.0947131893,0.1856378511
52,156,6,0.1153846154,0.2257664955,0.6921964927,0.7129698295,0.7565449656,0.8240243867,0.0937980646,0.1838442066
53,159,6,0.1132075472,0.2291347461,0.7010751283,0.7215561837,0.7646882498,0.8313068749,0.0929089634,0.1821015682
54,162,6,0.1111111111,0.2324359812,0.7096873467,0.7298701947,0.7725415720,0.8382750463,0.0920446751,0.1804075633
55,165,6,0.1090909091,0.2356721325,0.7180412896,0.7379209222,0.7801158306,0.8449429422,0.0912040669,0.1787599711
56,168,6,0.1071428571,0.2388450703,0.7261448801,0.7457171393,0.7874215187,0.8513239805,0.0903860767,0.1771567103
57,171,6,0.1052631579,0.2419566050,0.7340058221,0.7532673358,0.7944687346,0.8574309793,0.0895897081,0.1755958278
58,174,6,0.1034482759,0.2450084876,0.7416316014,0.7605797232,0.8012671932,0.8632761794,0.0888140250,0.1740754890
59,177,6,0.1016949153,0.2480024118,0.7490294871,0.7676622406,0.8078262376,0.8688712682,0.0880581472,0.1725939685
60,180,6,0.1000000000,0.2509400147,0.7562065343,0.7745225606,0.8141548507,0.8742274020,0.0873212460,0.1711496421
