missing_rate,expected_indeterminate_total,P_any_indeterminate,scenario,P_available_go,P_worst_go,P_best_go,P_complete_go,P_available_diff_complete,P_available_go_complete_nogo,P_available_nogo_complete_go,P_worst_best_straddle,P_available_diff_worst,P_available_diff_best
0,0,0,null,0.4514851599,0.4514851599,0.4514851599,0.4514851599,0,0,0,0,0,0
0,0,0,one_promising,0.6101943517,0.6101943517,0.6101943517,0.6101943517,0,0,0,0,0,0
0,0,0,one_target,0.7032513787,0.7032513787,0.7032513787,0.7032513787,0,0,0,0,0,0
0,0,0,both_target,0.8092997391,0.8092997391,0.8092997391,0.8092997391,0,0,0,0,0,0
0.05,2.7,0.9373278367,null,0.399497,0.326118,0.582523,0.451485,0.077447,0.012730,0.064718,0.256405,0.073379,0.183026
0.05,2.7,0.9373278367,one_promising,0.553073,0.471302,0.721562,0.610194,0.079057,0.010968,0.068089,0.250260,0.081770,0.168489
0.05,2.7,0.9373278367,one_target,0.647338,0.565239,0.795714,0.703251,0.074032,0.009059,0.064972,0.230474,0.082099,0.148375
0.05,2.7,0.9373278367,both_target,0.760672,0.685718,0.878487,0.809300,0.062661,0.007017,0.055645,0.192768,0.074953,0.117815
0.10,5.4,0.9966186081,null,0.391151,0.217811,0.705501,0.451485,0.113355,0.026510,0.086845,0.487689,0.173340,0.314350
0.10,5.4,0.9966186081,one_promising,0.539369,0.336588,0.815543,0.610194,0.116082,0.022628,0.093454,0.478955,0.202781,0.276174
0.10,5.4,0.9966186081,one_target,0.631232,0.420423,0.869353,0.703251,0.109267,0.018624,0.090643,0.448930,0.210809,0.238121
0.10,5.4,0.9966186081,both_target,0.744694,0.538846,0.928153,0.809300,0.093257,0.014325,0.078932,0.389307,0.205848,0.183459
